old_event_name,new_event_name,product_type,current_screen_name,action_on,action_type,cta_type
DOCTALK_DETAIL_VISIT,DETAIL_EXIT,24,,,,
ONBOARDING_VERIFY_OTP_VISIT,EXIT,0,ONBOARDING_VERIFY_OTP,,,
DOCTALKS_HOME_VISIT,DASHBOARD_EXIT,24,DOCTALKS_DASHBOARD,,,
SPECIALITY_DOCTALK_VISIT,LIST_EXIT,24,CONTENT_BY_SPEICALITY,,,
TOP_SPEAKER_LIST_VISIT,LIST_EXIT,24,,,,
DOCTALK_SHARE_CLICK,CLICK,24,,SHARE,CLICK,ENGAGEMENT_BAR
DOCTALK_COMMENT_POST,COMMENT_POSTED,24,,COMMENT_POSTED,,
DOCTALK_LIKE_CLICK,LIKE,24,,LIKE,CLICK,ENGAGEMENT_BAR
DOCTALK_BOOKMARK_CLICK,CLICK,24,,BOOKMARK,CLICK,TOP_BAR
DOCTALK_TAB_CLICK,NAVIGATION_BAR_CLICK,24,GRAND_ROUND,DOCTALK,CLICK,TAB
,,,,,,
NOTIFICATION_BELL,LIST_EXIT,37,NOTIFICATION_LIST,,,
BACK_GROUND_NOTIFICATION_RECEIVED,NOTIFICATION_RECEIVED,37,,,,
BACK_GROUND_NOTIFICATION_CLICKED,CLICK,37,,BACK_GROUND_NOTIFICATION,CLICK,CARD
NOTIFICATION_BELL_CLICK,CLICK,37,,NOTIFICATION_BELL,CLICK,TOP_BAR
NOTIFICATION_CARD_CLICK,CLICK,37,,NOTIFICATION,CLICK,CARD
,,,,,,
COMMUNITY_CREATIONPAGE_VISIT,EXIT,47,COMMUNITY_CREATION,,,
COMMUNITY_DASHBOARD_VISIT,DASHBOARD_EXIT,47,,,,
COMMUNITY_LISTINGS_VISIT,LIST_EXIT,47,PUBLIC_COMMUNITY / MY_ALL_COMMUNITY / PAST_AND_INACTIVE_COMMUNITY,,,
COMMUNITY_DETAILS_VISIT,DETAIL_EXIT,47,,,,
COMMUNITY_CREATE_BUTTON_CLICK,CLICK,47,,CREATE_COMMUNITY,CLICK,FLOATING_BUTTON
COMMUNITY_DONE_CLICK,CLICK,47,,DONE,CLICK,BUTTON
COMMUNITY_SUBMIT_CLICK,SUBMIT,47,,CREATE_COMMUNITY,CLICK,BUTTON
EXPLORE_COMMUNITY_CLICK,CLICK,47,EXPLORE_LIST,COMMUNITY,CLICK,BUTTON
HAMBURGER_COMMUNITY_CLICK,CLICK,47,,HAMBURGER_COMMUNITY,CLICK,TEXT
COMMUNITY_CARD_CLICK,CLICK,47,,COMMUNITY,CLICK,CARD
COMMUNITY_EDIT_CLICK,CLICK,47,,EDIT_COMMUNITY,CLICK,MORE_OPTION
COMMUNITY_EXIT_CLICK,CLICK,47,,EXIT_COMMUNITY_CONFIRM,CLICK,BUTTON
COMMUNITY_INACTIVATE_CLICK,CLICK,47,,DEACTIVATE_COMMUNITY_CONFIRM,CLICK,TEXT
COMMUNITY_REACTIVATE_CLICK,CLICK,47,,ACTIVATE_COMMUNITY,CLICK,MORE_OPTION
COMMUNITY_JOIN_CLICK,CLICK,47,,JOIN_COMMUNITY,CLICK,BUTTON
COMMUNITY_REQUEST_TO_JOIN_CLICK,CLICK,47,,COMMUNITY_JOIN_REQUEST,CLICK,BUTTON
COMMUNITY_WITHDRAW_CLICK,CLICK,47,,WITHDRAW_REQUEST_CONFIRM,CLICK,BUTTON
,,,,,,
REFERENCE_LIST_ENTRY,DASHBOARD_ENTRY,3,,,,
REFERENCE_LIST_VISIT,DASHBOARD_EXIT,3,,,,
REFRENCE_DETAIL_ENTRY,DETAIL_ENTRY,3,,,,
